Название;Категория;Производитель;SKU;guid;ЗакупочнаяЦена;БонуснаяЦена;ПолнаяЦена;НаличиеНурсултан;НаличиеПавлодар;Гарантия;КодОпенкарта;НаличиеАлматы;НаличиеПанфилова;
"Клавиатура A4Tech Bloody B150N";"Клавиатуры";"A4Tech";"Bloody B150N";481ffdbc-73bd-11ed-b0da-a8a1595902d2;11856;15709;13426;0;1;12 мес.;58878;0;0;
"Хомут нейлоновый Deluxe 2.5*200 мм черный (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"2.5*200 мм черный (100 штук в упаковке)";9b5048c2-7600-11ed-b0db-a8a1595902d2;231;321;362;0;81;1 мес.;88894879;0;0;
"Хлебопечка Centek CT-1406 Black/Red/White";"Хлебопечки";"Centek";"CT-1406 Black/Red/White";559819a3-761d-11ed-b0db-a8a1595902d2;37269;68232;44723;0;5;12 мес.;59002;0;0;
"Аккумуляторная батарея Makita BL1830B 3.0Ah 18V, 632G12-3";"Аккумуляторы и ЗУ для инструмента";"Makita";"632G12-3";ed847227-7b31-11ed-b0db-a8a1595902d2;44819;54007;53783;0;1;12 мес.;58877;0;0;
"Ударная дрель Makita HP1630K, 710 Вт";"Дрели";"Makita";"HP1630K";ed84722b-7b31-11ed-b0db-a8a1595902d2;43210;56389;57613;0;2;12 мес.;58899;0;0;
"Дисковая пила Makita HS7601, 1200 Вт";"Дисковые, циркулярные и сабельные пилы";"Makita";"HS7601";ed84722d-7b31-11ed-b0db-a8a1595902d2;84647;100730;94334;0;1;12 мес.;58900;0;0;
"Строительный фен Makita HG5030K, 1600 Вт";"Строительные фены";"Makita";"HG5030K";ed84722f-7b31-11ed-b0db-a8a1595902d2;36590;47855;43908;0;1;12 мес.;58873;0;0;
"Строительный пылесос Makita VC2512L, 1000 Вт";"Строительные пылесосы";"Makita";"VC2512L";ed847231-7b31-11ed-b0db-a8a1595902d2;125757;147764;163484;0;1;12 мес.;58901;0;0;
"Аккумуляторный ударный гайковерт Makita DTW285Z, без аккумулятора и зарядного устройства";"Гайковерты";"Makita";"DTW285Z";ed847239-7b31-11ed-b0db-a8a1595902d2;113432;133850;132715;0;1;12 мес.;58894;0;0;
"Мышь X-Game XM-04OUB, 3600dpi, RGB, USB, Black";"Мыши";"X-Game";"XM-04OUB";0862222c-7bb3-11ed-b0db-a8a1595902d2;2500;3125;2563;0;1;6 мес.;60486;0;0;
"Кулер для процессора Deepcool AG500 WH ARGB, R-AG500-WHANMN-G";"Кулеры для процессоров";"DeepCool";"R-AG500-WHANMN-G";ba46671b-7d57-11ed-b0db-a8a1595902d2;13210;17503;19475;0;2;12 мес.;58924;0;1;
"Маршрутизатор Mercusys MR70X";"Маршрутизаторы";"Mercusys";"MR70X";1a0d40b3-7f65-11ed-b0db-a8a1595902d2;24141;30297;28969;0;4;12 мес.;53768;0;0;
"Электрический чайник Centek CT-0041 Black";"Чайники и термопоты";"Centek";"CT-0041 Black";d28e4967-84ff-11ed-b0db-a8a1595902d2;6492;9089;8911;0;1;12 мес.;58903;0;0;
"Беспроводной адаптер Gembird WNP-UA-010";"Беспроводные адаптеры";"Gembird";"WNP-UA-010";818d5e85-85b9-11ed-b0db-a8a1595902d2;2378;3909;3884;0;4;12 мес.;88910030;0;0;
"Вентилятор для корпуса ADATA XPG VENTO 120 ARGB Black, VENTO120ARGB-BKCWW";"Охлаждение для корпусов ПК";"ADATA";"VENTO120ARGB-BKCWW";d07bafc6-869f-11ed-b0db-a8a1595902d2;4176;6886;5846;0;1;1 мес.;58923;0;0;
"Вентиляторная панель SHIP 701024002";"Комплектующие для шкафов";"SHIP";"701024002";8db33152-8c17-11ed-b0dc-a8a1595902d2;9981;13999;14938;0;9;;88898689;0;0;
"Блок питания PCcooler HW600-NP, 600W";"Блоки питания";"PCCOOLER";"HW600-NP";173b27bd-8cc5-11ed-b0dc-a8a1595902d2;13571;17982;15547;0;2;12 мес.;58403;0;0;
"МФУ Canon i-Sensys MF3010 + 2 картриджа Canon 725 оригинал";"МФУ лазерные";"Canon";"MF3010 + 2 картриджа Canon 725";097dd066-8d75-11ed-b0dc-a8a1595902d2;165120;194016;0;0;1;12 мес.;59210;0;0;
"Материнская плата ASRock J5040-ITX";"Материнские платы";"ASRock";"J5040-ITX";f96cf5e1-90e4-11ed-b0dc-a8a1595902d2;59956;77639;73597;0;1;12 мес.;58316;0;0;
"Стабилизатор SVC R-600";"Стабилизаторы";"SVC";"R-600";e64c160b-923c-11ed-b0dc-a8a1595902d2;10724;14048;14178;0;3;12 мес;55646;0;1;
"Батарейка CAMELION Lithium CR2025-BP1 1 шт.";"Батарейки и зарядные устройства";"CAMELION";"CR2025-BP1";f02ea408-9265-11ed-b0dc-a8a1595902d2;160;219;158;0;4;1 мес.;55913;0;0;
"Кухонные весы Scarlett SC-KS57P90";"Кухонные весы";"Scarlett";"SC-KS57P90";1769b05d-94dc-11ed-b0dd-a8a1595902d2;4824;7955;8201;0;1;12 мес.;59168;0;0;
"Батарея SVC GL1250/S 12В 50 Ач";"Аккумуляторы для ИБП";"SVC";"GL1250/S";5ce6eac3-958b-11ed-b0dd-a8a1595902d2;49659;62839;58526;0;1;12 мес.;58274;0;0;
"Кухонные весы Scarlett SC-KS57P30";"Кухонные весы";"Scarlett";"SC-KS57P30";6f88b2ac-961d-11ed-b0dd-a8a1595902d2;5905;8385;8267;0;1;12 мес.;59165;0;0;
"Мультипекарь Redmond RMB-616/3";"Сэндвичницы и вафельницы";"Redmond";"RMB-616/3";6f88b2b2-961d-11ed-b0dd-a8a1595902d2;26993;35951;27891;0;1;12 мес.;59218;0;0;
"Наушники беспроводные Edifier WH500, Bluetooth V5.2, White";"Наушники и гарнитуры";"Edifier";"WH500 White";0985a790-970e-11ed-b0dd-a8a1595902d2;7545;10186;12825;0;2;12 мес.;88896910;0;0;
"Наушники Razer Kaira X for Xbox White, RZ04-03970300-R3M1";"Наушники и гарнитуры";"Razer";"RZ04-03970300-R3M1";0985a792-970e-11ed-b0dd-a8a1595902d2;19482;25034;30990;0;1;12 мес.;88896911;0;0;
"Стабилизатор SVC W-500";"Стабилизаторы";"SVC";"W-500";2ae12d5f-97e0-11ed-b0dd-a8a1595902d2;10171;13324;12388;0;5;12 мес.;55647;0;0;
"Клавиатура Defender Element HB-195, Black, USB";"Клавиатуры";"Defender";"Element HB-195 black";f71c61f9-988c-11ed-b0dd-a8a1595902d2;3303;4129;3534;0;1;6 мес.;56390;0;0;
"Блок питания PCcooler HW700-NP, 700W";"Блоки питания";"PCCOOLER";"HW700-NP";81e55d7b-9a62-11ed-b0dd-a8a1595902d2;16895;21964;21880;0;1;12 мес.;58996;0;0;
"Мышь Deepcool MG350, R-MG350-BKDUNN-G";"Мыши";"DeepCool";"R-MG350-BKDUNN-G";6450692f-9b53-11ed-b0de-a8a1595902d2;16720;21736;21402;0;1;12 мес;57197;0;0;
"Корпус Cougar Duoface RGB Black, CGR-5ZD1B-RGB";"Корпуса";"Cougar";"CGR-5ZD1B-RGB";6450693d-9b53-11ed-b0de-a8a1595902d2;31950;38470;34625;0;2;12 мес;58558;0;0;
"Корпус Nomad Babylon, NMD-BABYLON";"Корпуса";"Nomad";"NMD-BABYLON";6450693f-9b53-11ed-b0de-a8a1595902d2;19847;26644;25495;0;1;12 мес;56357;0;0;
"IP камера Imou Ranger 2 Gray";"Камеры видеонаблюдения";"Imou";"Ranger 2 Gray";64506955-9b53-11ed-b0de-a8a1595902d2;22500;28238;27900;0;1;12 мес;56808;0;0;
"Кулер для процессора PCCooler Paladin 400 ARGB";"Кулеры для процессоров";"PCCOOLER";"Paladin 400 ARGB";64506971-9b53-11ed-b0de-a8a1595902d2;8272;11167;11705;0;3;12 мес;55375;0;0;
"Наушники беспроводные Defender FreeMotion B525 белый+розовый, BT";"Наушники и гарнитуры";"Defender";"FreeMotion B525 wh pink";64506983-9b53-11ed-b0de-a8a1595902d2;6664;9330;7165;0;1;12 мес;56611;0;0;
"Коммутатор Dahua DH-PFS3006-4ET-36";"Коммутаторы";"Dahua";"DH-PFS3006-4ET-36";6a981383-9b53-11ed-b0de-a8a1595902d2;15840;20592;24730;0;1;12 мес;57413;0;0;
"Кулер для процессора Aerocool Rime 4 ARGB PWM 4P, ACTC-RM30417.01";"Кулеры для процессоров";"AeroCool";"ACTC-RM30417.01";6a981417-9b53-11ed-b0de-a8a1595902d2;16391;22353;23311;0;1;12 мес;57356;0;0;
"Корпус Zalman S5 Black";"Корпуса";"Zalman";"Zalman S5 Black";6a981461-9b53-11ed-b0de-a8a1595902d2;20343;27295;29166;0;1;12 мес;50957;0;0;
"Батарейка CAMELION Digi Alkaline 6LR61-BP1DG";"Батарейки и зарядные устройства";"CAMELION";"6LR61-BP1DG";70bc5784-9b53-11ed-b0de-a8a1595902d2;707;898;755;0;14;12 мес;57164;0;3;
"Медиаконвертер TP-LINK MC200CM";"Медиаконвертеры и трансиверы";"TP-LINK";"MC200CM";76ee2fdd-9b53-11ed-b0de-a8a1595902d2;16949;22034;21695;0;1;12 мес;36737;0;0;
"Наушники Defender Warhead G-120 black/orange, 64099";"Наушники и гарнитуры";"Defender";"64099";76ee3043-9b53-11ed-b0de-a8a1595902d2;3853;4816;4368;0;1;12 мес;56178;0;0;
"Картридж Colorfix CF289A (Без чипа)";"Картриджи, тонеры, барабаны";"Colorfix";"CF289A (Без чипа)";76ee3063-9b53-11ed-b0de-a8a1595902d2;3033;5152;3791;0;1;12 мес;54521;0;0;
"IP камера Imou Cube PoE 2MP";"Камеры видеонаблюдения";"Imou";"Cube PoE 2MP";7dbeb98e-9b53-11ed-b0de-a8a1595902d2;18630;23940;23501;0;1;12 мес;56788;0;0;
"Наушники беспроводные HyperX Cloud Buds Wireless, HEBBXX-MC-RD/G 4P5H7AA";"Наушники и гарнитуры";"HyperX";"HEBBXX-MC-RD/G 4P5H7AA";7dbeb99c-9b53-11ed-b0de-a8a1595902d2;25300;33895;31372;0;1;12 мес;52642;0;0;
"Наушники LOGITECH H111, 981-000593, Grey";"Наушники и гарнитуры";"Logitech";"981-000593";7dbeb9fe-9b53-11ed-b0de-a8a1595902d2;9858;13210;10248;0;1;12 мес;58194;0;1;
"Удлинитель DEFENDER E318 1.8 м, 3 розетки";"Сетевые фильтры, адаптеры";"Defender";"E318";7dbeba00-9b53-11ed-b0de-a8a1595902d2;1328;1687;1363;0;2;12 мес;57762;0;0;
"Вентилятор для корпуса ID-Cooling ICEFAN 240 ARGB SNOW";"Охлаждение для корпусов ПК";"ID-Cooling";"ICEFAN 240 ARGB SNOW";7dbeba2c-9b53-11ed-b0de-a8a1595902d2;7608;10271;9777;0;1;12 мес;56886;0;1;
"MESH-система TP-Link Deco M4 (3-pack)";"Маршрутизаторы";"TP-LINK";"Deco M4 (3-pack)";7dbeba5c-9b53-11ed-b0de-a8a1595902d2;74282;88396;76219;0;1;12 мес;57214;0;0;
"Гарнитура Razer Opus X - Green, RZ04-03760400-R3M1";"Наушники и гарнитуры";"Razer";"RZ04-03760400-R3M1";8418b388-9b53-11ed-b0de-a8a1595902d2;19626;25219;48600;0;2;12 мес;54572;0;0;
"Мышь Genesis Krypton 770, NMG-1163";"Мыши";"Genesis";"NMG-1163";8418b390-9b53-11ed-b0de-a8a1595902d2;8000;19985;12421;0;1;12 мес.;51917;0;0;
"Трансивер TP-Link TL-SM321A-2";"Медиаконвертеры и трансиверы";"TP-LINK";"TL-SM321A-2";8418b41e-9b53-11ed-b0de-a8a1595902d2;7340;9909;9034;0;1;12 мес;57262;0;0;
"Стабилизатор SVC R-2000";"Стабилизаторы";"SVC";"R-2000";8a4fe3c0-9b53-11ed-b0de-a8a1595902d2;16035;20846;19482;0;4;12 мес;55645;0;0;
"Батарейка CAMELION Alkaline, A32-BP5";"Батарейки и зарядные устройства";"CAMELION";"A32-BP5";8a4fe414-9b53-11ed-b0de-a8a1595902d2;650;974;744;0;10;12 мес;54527;0;0;
"Мышь Rapoo M300 Blue";"Мыши";"RAPOO";"M300 Blue";908cb897-9b53-11ed-b0de-a8a1595902d2;4703;6819;7490;0;1;12 мес;56579;0;0;
"Гарнитура Razer Kraken V3, RZ04-03770200-R3M1";"Наушники и гарнитуры";"Razer";"RZ04-03770200-R3M1";908cb929-9b53-11ed-b0de-a8a1595902d2;31548;38962;43188;0;1;12 мес;57387;0;0;
"Гарнитура Razer Opus X - Quartz, RZ04-03760300-R3M1";"Наушники и гарнитуры";"Razer";"RZ04-03760300-R3M1";96c3e847-9b53-11ed-b0de-a8a1595902d2;20200;25992;48600;0;1;12 мес;54571;0;0;
"Коврик Defender Black XXL 400x355x3mm, 50559";"Коврики для мыши";"Defender";"50559";96c3e86b-9b53-11ed-b0de-a8a1595902d2;1668;2085;1623;0;1;12 мес;57039;0;0;
"Нож Bergner Masterpro Foodies MP BGMP-4315";"Кухонные ножи и ножницы";"Bergner";"BGMP-4315";8a563289-a24e-11ed-b0e0-a8a1595902d2;3500;5945;3370;0;1;;60104;0;0;
"Купольная видеокамера Dahua DH-HAC-T1A51P-0280B";"Камеры видеонаблюдения";"Dahua";"DH-HAC-T1A51P-0280B";bcc7d88c-a5e5-11ed-b0e0-a8a1595902d2;9380;12569;12600;0;1;12 мес;56250;0;0;
"Вентилятор для корпуса Bequiet! Light Wings 140mm PWM ARGB, BL075";"Охлаждение для корпусов ПК";"be quiet!";"BL075";c463dbdf-a5e5-11ed-b0e0-a8a1595902d2;13757;18228;14586;0;7;12 мес;57465;0;2;
"Картридж Colorfix CF218A (Без чипа)";"Картриджи, тонеры, барабаны";"Colorfix";"CF218A (Без чипа)";c463dc73-a5e5-11ed-b0e0-a8a1595902d2;1531;2395;2485;0;17;12 мес;52022;0;0;
"Комплект игровой  мышь + клавиатура + ковер Defender Tark C-779 RU";"Игровые наборы";"Defender";"52779";da428a9e-a5e5-11ed-b0e0-a8a1595902d2;5549;7880;7302;0;1;12 мес;55821;0;0;
"Гарнитура Razer Barracuda X 2022 Quartz Pink, RZ04-04430300-R3M1";"Наушники и гарнитуры";"Razer";"RZ04-04430300-R3M1";e1c23f99-a5e5-11ed-b0e0-a8a1595902d2;41990;50598;52222;0;1;12 мес;58262;0;0;
"Видеокарта Inno3D Georce GT 730 4G, N73P-BSDV-M5BX";"Видеокарты";"Inno3D";"N73P-BSDV-M5BX";e1c2403f-a5e5-11ed-b0e0-a8a1595902d2;45235;54508;45154;0;1;12 мес;58055;0;0;
"Комплект беспроводной клавиатура + мышь Logitech MK235, USB";"Наборы Клавиатура + Мышь";"Logitech";"Logitech MK235";f107c8b3-a5e5-11ed-b0e0-a8a1595902d2;14086;18664;15795;0;1;12 мес;88887976;0;0;
"Материнская плата Gigabyte B760M DS3H DDR4";"Материнские платы";"Gigabyte";"B760M DS3H DDR4";f107c8ed-a5e5-11ed-b0e0-a8a1595902d2;50638,03;60959;54488;0;2;36 мес;59054;0;0;
"Сетевой фильтр SVC (5розеток 1.8m) ZC5S-18M, Black";"Сетевые фильтры, адаптеры";"SVC";"ZC5S-18M";aaa81a7c-aac7-11ed-b0e0-a8a1595902d2;1445;1835;1716;0;47;6 мес.;60109;0;0;
"Батарейка аккумуляторная CAMELION AA, NH-AA2700ARBP4, Lockbox Rechargeable, 1.2V, 4шт";"Батарейки и зарядные устройства";"CAMELION";"NH-AA2700ARBP4";4766972d-ab4d-11ed-b0e0-a8a1595902d2;4400;6380;5212;0;3;1 мес.;88908318;0;0;
"Кулер для процессора ID-Cooling SE-224-XTS BLACK";"Кулеры для процессоров";"ID-Cooling";"SE-224-XTS BLACK";b107d409-abd1-11ed-b0e0-a8a1595902d2;10133;13274;11135;0;1;12 мес;59366;0;0;
"USB Flash drive 128GB Hikvision HS-USB-M210P/128G/U3";"USB Flash накопители";"HIKVISION";"HS-USB-M210P/128G/U3";b107d427-abd1-11ed-b0e0-a8a1595902d2;3027;5141;3695;0;1;12 мес;59488;0;0;
"Кулер для процессора PCCooler PALADIN EX400";"Кулеры для процессоров";"PCCOOLER";"PALADIN EX400";b8510faf-abd1-11ed-b0e0-a8a1595902d2;7358;9933;9166;0;3;12 мес;59443;0;0;
"Кулер для процессора ID-Cooling SE-224-XTS ARGB WHITE";"Кулеры для процессоров";"ID-Cooling";"SE-224-XTS ARGB WHITE";b8510fc9-abd1-11ed-b0e0-a8a1595902d2;10031;13141;11532;0;1;12 мес;59478;0;0;
"Комплект игровой Defender Tor MHP-127";"Игровые наборы";"Defender";"MHP-127";c002a859-ae1e-11ed-b0e0-a8a1595902d2;11799;16325;14732;0;1;6 мес.;88887940;0;0;
"Корпус GameMax Spark Pro Black, 12920100015";"Корпуса";"GameMax";"12920100015";29690ca6-ae22-11ed-b0e0-a8a1595902d2;22825;28645;32495;0;2;1 мес.;88902820;0;0;
"Зарядное устройство CAMELION BC-0904SM-TUV-0, 4xAAA/4xAA/2x9V";"Батарейки и зарядные устройства";"CAMELION";"BC-0904SM-TUV-0";6ad43cfa-b721-11ed-b0e1-a8a1595902d2;3296;4120;4712;0;6;1 мес.;88908319;0;0;
"Клавиатура Oklick 180M, USB, Black";"Клавиатуры";"Oklick";"180M-V2";46d2ed92-b785-11ed-b0e1-a8a1595902d2;1550;3660;3660;0;1;6 мес;88897432;0;0;
"Маршрутизатор Mercusys MR30G";"Маршрутизаторы";"Mercusys";"MR30G";5f4c6b1d-b785-11ed-b0e1-a8a1595902d2;15572;20244;18218;0;2;12 мес;54852;0;0;
"Процессор Intel Core i5-13400F 2.5 GHz, OEM";"Процессоры";"Intel";"i5-13400F OEM";88049c88-b785-11ed-b0e1-a8a1595902d2;90789;107585;89437;0;2;12 мес;59556;0;0;
"Вентилятор SVC AFN-1640";"Вентиляторы";"SVC";"AFN-1640";af8c0430-b785-11ed-b0e1-a8a1595902d2;6308;8831;12015;0;1;12 мес;88905097;0;0;
"Батарейки CAMELION AG13, 10 шт. AG13-BP10";"Батарейки и зарядные устройства";"CAMELION";"AG13-BP10";c6d6152e-b785-11ed-b0e1-a8a1595902d2;377;781;539;0;18;1 мес;88889626;0;0;
"Адаптер для питания видеокарты 2*Molex - 8pin Cablexpert CC-PSU-81";"Адаптеры";"Cablexpert";"CC-PSU-81";331bd2e7-b786-11ed-b0e1-a8a1595902d2;465;591;635;0;3;1 мес;88893090;0;0;
"Патч Корд, SHIP, S7025YL0100-P, Cat.6, FTP, LSZH, RJ-45, 1 м, Yellow";"Патчкорды и коннекторы";"SHIP";"S7025YL0100-P";63b8f88d-b786-11ed-b0e1-a8a1595902d2;677;1042;1200;0;3;12 мес;88892175;0;0;
"Материнская плата ASRock B760 PRO RS/D4";"Материнские платы";"ASRock";"B760 PRO RS/D4";7088c179-b787-11ed-b0e1-a8a1595902d2;67035;79772;70922;0;1;12 мес;59527;0;0;
"Материнская плата ASUS PRIME B760M-A WIFI D4";"Материнские платы";"ASUS";"PRIME B760M-A WIFI D4";7a813e50-b787-11ed-b0e1-a8a1595902d2;68670;81717;82864;0;1;12 мес;59531;0;0;
"Блок питания HEC Cougar STC600, 600Вт";"Блоки питания";"Cougar";"STC600";f87a3c05-b8dd-11ed-b0e1-a8a1595902d2;19650;25250;22920;0;2;12 мес.;88898856;0;0;
"Мышь Razer DeathAdder V2 HALO Infinite, RZ01-03210300-R3M1";"Мыши";"Razer";"RZ01-03210300-R3M1";f87a3c0b-b8dd-11ed-b0e1-a8a1595902d2;28700;35732;34708;0;1;12 мес.;60277;0;1;
"Коммутатор D-Link DGS-1005A/F1A";"Коммутаторы";"D-link";"DGS-1005A/F1A";bf2f488b-c2a6-11ed-b0e1-a8a1595902d2;7247;9783;7404;0;5;12 мес;59680;0;0;
"Коммутатор D-Link DGS-1008A/F1A";"Коммутаторы";"D-link";"DGS-1008A/F1A";b27e3389-c2a7-11ed-b0e1-a8a1595902d2;9892;13255;10085;0;1;12 мес;59681;0;0;
"Коммутатор Tenda S105";"Коммутаторы";"Tenda";"Tenda S105";b27e3397-c2a7-11ed-b0e1-a8a1595902d2;2611;3591;3280;0;2;12 мес;59669;0;0;
"Коммутатор Tenda S16";"Коммутаторы";"Tenda";"Tenda S16";b27e339b-c2a7-11ed-b0e1-a8a1595902d2;10175;13329;15064;0;2;12 мес;59671;0;0;
"Кофеварка Centek CT-1141 Black";"Кофеварки";"Centek";"CT-1141 Black";bcf6b6b8-c2a7-11ed-b0e1-a8a1595902d2;9341;12517;11934;0;1;12 мес;59752;0;0;
"Материнская плата Gigabyte B760M GAMING DDR4";"Материнские платы";"Gigabyte";"B760M GAMING DDR4";c4312587-c2a7-11ed-b0e1-a8a1595902d2;50799,47;60959;52550;0;1;36 мес;59707;0;0;
"Термопаста Deepcool DM9 4g, 4 грамм";"Термопаста и термоклей";"DeepCool";"R-DM9-GY040C-G";c431258f-c2a7-11ed-b0e1-a8a1595902d2;3507;4970;4534;0;5;1 мес;59793;0;0;
"Кулер для процессора Deepcool AG300 LED, R-AG300-BKLNMN-G";"Кулеры для процессоров";"DeepCool";"R-AG300-BKLNMN-G";c43125d7-c2a7-11ed-b0e1-a8a1595902d2;5780;8208;9485;0;4;12 мес;59764;0;0;
"Кулер для процессора Deepcool AG300 MARRS, R-AG300-BKMNMN-G";"Кулеры для процессоров";"DeepCool";"R-AG300-BKMNMN-G";c43125d9-c2a7-11ed-b0e1-a8a1595902d2;5744;8156;9411;0;3;12 мес;59765;0;0;
"Кулер для процессора Deepcool AG620 BK ARGB, R-AG620-BKANMN-G-2";"Кулеры для процессоров";"DeepCool";"R-AG620-BKANMN-G-2";c43125dd-c2a7-11ed-b0e1-a8a1595902d2;27317;34283;30690;0;1;12 мес;59767;0;0;
"Кофемолка Centek CT-1358 Black";"Кофемолки";"Centek";"CT-1358 Black";cd80dfd4-c2a7-11ed-b0e1-a8a1595902d2;5851;8308;9136;0;1;12 мес;59755;0;0;
"Процессор Intel Core i3-13100F 3.4 GHz, OEM";"Процессоры";"Intel";"i3-13100F OEM";cd80dff6-c2a7-11ed-b0e1-a8a1595902d2;37992;46540;51618;0;1;12 мес;59555;0;0;
"Стабилизатор Volta AVR Pro 1500";"Стабилизаторы";"Volta";"AVR Pro 1500";7735c93b-c478-11ed-b0e1-a8a1595902d2;22720;28514;24335;0;1;12 мес.;60546;0;0;
"Патч Корд Cablexpert Cat. 5e, UTP, RJ-45, 0,5 m., PP12-0.5M/BK, Black";"Патчкорды и коннекторы";"Cablexpert";"PP12-0.5M/BK";a574de93-d153-11ed-b0e1-a8a1595902d2;170;420;255;0;15;1 мес.;88908080;0;3;
"Гриль Redmond RGM-M814";"Электрогрили";"Redmond";"RGM-M814";adecf543-d371-11ed-b0e1-a8a1595902d2;39990;48988;49492;0;1;12 мес.;59998;0;0;
"Клавиатура A4Tech Bloody B865R";"Клавиатуры";"A4Tech";"Bloody B865R";68234ebe-d3d3-11ed-b0e1-a8a1595902d2;25160;31576;31198;0;1;12 мес.;59981;0;0;
"Клавиатура A4Tech Bloody B810RC, Yellow";"Клавиатуры";"A4Tech";"B810RC Yellow";68234ec0-d3d3-11ed-b0e1-a8a1595902d2;25228;31661;29536;0;1;12 мес.;60620;0;0;
"Клавиатура A4Tech Bloody B810RC, White ";"Клавиатуры";"A4Tech";"B810RC White ";68234ec2-d3d3-11ed-b0e1-a8a1595902d2;24181;30347;30705;0;1;12 мес.;59982;0;0;
"Мышь A4Tech Fstyler FG30S White";"Мыши";"A4Tech";"FG30S White";68234ec4-d3d3-11ed-b0e1-a8a1595902d2;4125;7775;5631;0;1;12 мес.;88905819;0;0;
"Мышь беспроводная Logitech M190 Blue 910-005907";"Мыши";"Logitech";"910-005907";a1348a74-d650-11ed-b0e1-a8a1595902d2;4180;6061;5600;0;2;12 мес;57067;0;0;
"Мясорубка Centek CT-1602 Juice";"Мясорубки";"Centek";"CT-1602 Juice";a1348a82-d650-11ed-b0e1-a8a1595902d2;38580;51114;46296;0;1;12 мес;59824;0;0;
"Микрофон-караоке SoundWave Q9, Bluetooth, Black";"Микрофоны";"SoundWave";"Q9 черный";87613998-d651-11ed-b0e1-a8a1595902d2;4092;5933;6191;0;1;12 мес;52739;0;0;
"Клавиатура Genius Slimstar 7230";"Клавиатуры";"Genius";"Slimstar 7230";9c391218-d651-11ed-b0e1-a8a1595902d2;4996;7244;6867;0;2;12 мес;59939;0;1;
"Клавиатура Razer Huntsman Tournament, RZ03-03081000-R3R1";"Клавиатуры";"Razer";"RZ03-03081000-R3R1";9c391222-d651-11ed-b0e1-a8a1595902d2;46990;67872;67985;0;1;12 мес;59932;0;0;
"Жесткий диск 4Tb Seagate SkyHawk ST4000VX016";"Жесткие диски 3.5"" (для ПК)";"Seagate";"ST4000VX016";0854ec72-d785-11ed-b0e1-a8a1595902d2;47990;57828;50450;0;1;24 мес.;88905212;0;0;
"Приемопередатчик Dahua DH-PFM800-E";"Аксессуары для видеонаблюдения";"Dahua";"DH-PFM800-E";2e6f309b-d83e-11ed-b0e1-a8a1595902d2;1059;1595;0;0;2;12 мес.;88904760;0;0;
"Кабель аудио Cablexpert CCA-458-5M, джек3.5 / 2xRCA, 5.0м";"Кабели";"Cablexpert";"CCA-458-5M";65409989-d9be-11ed-b0e1-a8a1595902d2;772;980;896;0;1;1 мес.;88890626;0;0;
"Мышь HP Europe Pavilion Gaming 200, 5JS07AA";"Мыши";"HP";"5JS07AA";5dff41d4-e1c1-11ed-b0e1-a8a1595902d2;8154;14595;11178;0;1;;88905821;0;0;
"Наушники A4tech Bloody G575, Naraka";"Наушники и гарнитуры";"A4Tech";"Bloody G575 Naraka";c180fd07-e71d-11ed-b0e2-a8a1595902d2;20554;25795;16088;0;1;12 мес.;60488;0;0;
"Плита газовая Centek CT-1520 White";"Настольные плиты";"Centek";"CT-1520";366a7651-eb35-11ed-b0e2-a8a1595902d2;4567;7085;5621;0;1;12 мес.;60522;0;0;
"Электрический чайник Centek CT-0034 Black";"Чайники и термопоты";"Centek";"CT-0034 Black";366a7657-eb35-11ed-b0e2-a8a1595902d2;7541;10180;9440;0;3;12 мес.;60464;0;0;
"Коврик HP Pavilion 400 5JH72AA, 350 x 280 мм";"Коврики для мыши";"HP";"5JH72AA";e368dfc1-ed79-11ed-b0e2-a8a1595902d2;6735;20061;11450;0;3;1 мес;88907279;0;0;
"Сумка для ноутбука 17.3"" HP Rnw Business, 3E2U6AA, Black";"Сумки для ноутбуков";"HP";"3E2U6AA ";e368dfcc-ed79-11ed-b0e2-a8a1595902d2;12443;16487;15548;0;1;1 мес.;88907399;0;0;
"Колонка портативная Defender Beatbox 10, 65010";"Портативная акустика";"Defender";"65010";d89fa2a1-f265-11ed-b0e2-a8a1595902d2;11707;16682;17960;0;1;6 мес;88891389;0;0;
"Мышь Genius NX-8008S, Red";"Мыши";"Genius";"NX-8008S Red";2bf0d051-fe96-11ed-b0e3-a8a1595902d2;3246;4058;3220;0;1;12 мес.;88905827;0;0;
"Клавиатура Genius SlimStar 126, White";"Клавиатуры";"Genius";"SlimStar 126 White";d7664260-fedc-11ed-b0e3-a8a1595902d2;3618;4780;3853;0;1;12 мес.;60539;0;0;
"Кулер для видеокарты ?75мм, 12V, 4pin, парный";"Охлаждение для видеокарт";"No name";"75мм 12V";78fff69d-ff89-11ed-b0e3-a8a1595902d2;2410;5400;5400;0;1;1 мес.;88905082;0;0;
"Кулер для видеокарты ?85мм, 12V, 4pin, парный";"Охлаждение для видеокарт";"No name";"85мм 12V";78fff69f-ff89-11ed-b0e3-a8a1595902d2;2450;5450;5450;0;1;1 мес.;88905083;0;0;
"Кулер для видеокарты ?95мм, 12V, 4pin, парный";"Охлаждение для видеокарт";"No name";"95мм 12V";78fff6a1-ff89-11ed-b0e3-a8a1595902d2;2510;5500;5500;0;1;1 мес.;88905084;0;0;
