Название;Категория;Производитель;SKU;guid;ЗакупочнаяЦена;БонуснаяЦена;ПолнаяЦена;НаличиеНурсултан;НаличиеПавлодар;Гарантия;КодОпенкарта;НаличиеАлматы;НаличиеПанфилова;
"IP-камера TP-Link Tapo C310";"Камеры видеонаблюдения";"TP-LINK";"Tapo C310";c58af372-a707-11ee-b0f5-a8a1595902d2;23770;29831;28003;0;0;12 мес;88914790;1;0;
"Рамка Schneider Electric EPH5810221 Asfora 2 постовая белый";"Розетки, выключатели";"Schneider Electric";"EPH5810221 Asfora 2 постовая белый";f274c0a4-aa46-11ee-b0f5-a8a1595902d2;430;644;611;0;0;12 мес;88914917;1;0;
"Батарея Ritar RT1290, 12V/9Ah, 151х65х100";"Аккумуляторы для ИБП";"Ritar";"RT1290";0bffd46a-adf5-11ee-b0f5-a8a1595902d2;6975;9765;8644;0;0;6 мес.;88915139;2;0;
"Компьютерное кресло Cougar NxSys Aero, CGR-ARP";"Компьютерные кресла";"Cougar";"CGR-ARP";6736df6a-b056-11ee-b0f5-a8a1595902d2;156276;184042;207434;0;0;12 мес;88915636;1;0;
"Корпус Deepcool CH560 White, R-CH560-WHAPE4-G-1";"Корпуса";"DeepCool";"R-CH560-WHAPE4-G-1";75de722b-b065-11ee-b0f5-a8a1595902d2;45156;54413;52040;0;1;12 мес;88915647;1;0;
"Корпус Deepcool MORPHEUS WH R-MORPHEUS-WHAPA1-G-1";"Корпуса";"DeepCool";"R-MORPHEUS-WHAPA1-G-1";41de23ef-b073-11ee-b0f5-a8a1595902d2;71050;91650;93097;0;1;12 мес;88915704;1;0;
"Принтер HP LaserJet Enterprise M406dn, 3PZ15A";"Принтеры лазерные";"HP";"3PZ15A";8d035df6-b6c5-11ee-b0f5-a8a1595902d2;170415;216352;166195;0;0;12 мес;88916635;1;0;
"Адаптер Bluetooth ASUS USB-BT500";"Беспроводные адаптеры";"ASUS";"USB-BT500";1a0607c5-b8fe-11ee-b0f5-a8a1595902d2;7231;9762;9090;0;0;12 мес;88916702;1;0;
"Сетевой фильтр CyberPower P0420SUC0-DE (4 розетки 1.8m), Black";"Сетевые фильтры, адаптеры";"CyberPower";"P0420SUC0-DE";5af9fda5-bb4c-11ee-b0f5-a8a1595902d2;3700;4625;4785;0;0;12 мес;88917067;1;0;
"Сетевой фильтр CyberPower B0520SB0-DE (5 розеток 1.8m), Black";"Сетевые фильтры, адаптеры";"CyberPower";"B0520SB0-DE";5af9fdae-bb4c-11ee-b0f5-a8a1595902d2;2550;3188;3620;0;0;12 мес;88917070;5;2;
"Коммутатор Hikvision DS-3E0105-O";"Коммутаторы";"HIKVISION";"DS-3E0105-O";dc152064-bb69-11ee-b0f5-a8a1595902d2;5256;7464;6430;0;4;12 мес;88917110;1;0;
"Чемодан Ninetygo Ripple Luggage 24"" White, 6941413222242";"Чемоданы и дорожные сумки";"Ninetygo";"6941413222242";c7e15c82-bc1d-11ee-b0f5-a8a1595902d2;35227;46676;45985;0;0;12 мес;88917251;1;0;
"Паровая швабра Kitfort KT-1004-2 Green";"Пароочистители";"KITFORT";"KT-1004-2 Green";a74fcee4-bc2b-11ee-b0f5-a8a1595902d2;28868;38484;27891;0;0;12 мес.;88917263;1;0;
"Чемодан Ninetygo Rhine Luggage 28"" Moonlight white/Mocha brown, 6941413222136";"Чемоданы и дорожные сумки";"Ninetygo";"6941413222136";4ceded8c-bc36-11ee-b0f5-a8a1595902d2;40180;54985;48528;0;0;12 мес;88917310;1;0;
"Руль Sven GC-W300";"Игровые манипуляторы";"Sven";"GC-W300";3c4e6b1c-bc46-11ee-b0f5-a8a1595902d2;19240;24983;24630;0;0;12 мес;88917399;3;2;
"Наушники Jabra Evolve2 40 SE MS Stereo USB-A, 24189-999-999";"Наушники и гарнитуры";"Jabra";"24189-999-999";2ab880f3-c198-11ee-b0f5-a8a1595902d2;53500;64200;58885;0;0;12 мес;88917791;1;0;
"Вентилятор для корпуса Arctic P14 PWM PST, ACFAN00125A";"Охлаждение для корпусов ПК";"Arctic";"ACFAN00125A";f91b7c2d-c598-11ee-b0f5-a8a1595902d2;4421;6410;5264;0;0;12 мес;88918275;1;0;
"Корпус PCcooler MASTER ME200 MESH BK";"Корпуса";"PCCOOLER";"ME200 MESH BK";af842e03-c59c-11ee-b0f5-a8a1595902d2;29975;37319;30564;0;0;12 мес;88918287;1;0;
"Корпус Jonsbo U6 Silver";"Корпуса";"Jonsbo";"U6 Silver";c3f5eddd-c5aa-11ee-b0f5-a8a1595902d2;32500;41994;54599;0;5;12 мес;88918308;4;0;
"Выключатель Legrand Inspiria 673622";"Розетки, выключатели";"Legrand";"Inspiria 673622";4f2f8293-c63f-11ee-b0f5-a8a1595902d2;971;1233;1265;0;0;12 мес;88918369;3;0;
"Мышь Genius DX-120 Ocean Blue USB";"Мыши";"Genius";"DX-120 Ocean Blue USB";460c7942-ca68-11ee-b0f5-a8a1595902d2;1450;1842;1933;0;2;12 мес;88918774;2;2;
"Клавиатура Defender Astra HB-588 USB";"Клавиатуры";"Defender";"Astra HB-588 USB";460c794b-ca68-11ee-b0f5-a8a1595902d2;2224;2780;2339;0;0;12 мес;88918777;5;0;
"Клавиатура Defender Accent SB-720 Black";"Клавиатуры";"Defender";"Accent SB-720 Black";460c794e-ca68-11ee-b0f5-a8a1595902d2;2030;2538;2890;0;0;12 мес;88918778;1;0;
"Оперативная память DDR5 5200/16Gb GEIL Pristine V, GN516GB5200C42S";"Оперативная память";"Geil";"GN516GB5200C42S";911fc869-cbff-11ee-b0f5-a8a1595902d2;29430;36640;24246;0;0;12 мес;88918954;1;0;
"Кофеварка рожковая Kitfort KT-7139";"Кофеварки";"KITFORT";"KT-7139";657c989b-cfba-11ee-b0f5-a8a1595902d2;51968;67554;53979;0;1;12 мес;88919279;1;0;
"Увлажнитель воздуха Kitfort KT-2893-1 White";"Увлажнители воздуха";"KITFORT";"KT-2893-1 White";aa11f83c-cfba-11ee-b0f5-a8a1595902d2;17318;23080;17985;0;0;12 мес;88919315;1;0;
"Термопот Kitfort KT-2520";"Чайники и термопоты";"KITFORT";"KT-2520";c347ac88-cfba-11ee-b0f5-a8a1595902d2;36743;48680;36601;0;0;12 мес;88919320;1;0;
"Паровая швабра Kitfort КТ-1049";"Пароочистители";"KITFORT";"КТ-1049";d537a777-cfba-11ee-b0f5-a8a1595902d2;26243;32935;29979;0;0;12 мес;88919351;2;0;
"Термос Lamart LT4032";"Термосы и термокружки";"Lamart";"LT4032";fc644b76-d0b2-11ee-b0f5-a8a1595902d2;9543;13737;11131;0;0;12 мес;88919712;1;0;
"USB Flash drive 128GB Netac U182 Red, NT03U182N-128G-30RE";"USB Flash накопители";"Netac";"NT03U182N-128G-30RE";1d94cb9f-d151-11ee-b0f5-a8a1595902d2;2858;4854;4989;0;3;12 мес;88919751;1;0;
"Картридж Europrint EPC-W2033A/415A Magenta";"Картриджи, тонеры, барабаны";"Europrint";"EPC-W2033A/415A";fbcb13d3-d17f-11ee-b0f5-a8a1595902d2;5180;7356;16080;0;0;12 мес;88919872;1;0;
"Комплект вентиляторов для корпуса 1stPlayer CC COMBO 120mm";"Охлаждение для корпусов ПК";"1stPlayer";"CC COMBO";4245ce08-d296-11ee-b0f5-a8a1595902d2;6750;9450;9423;0;1;12 мес;88920015;1;1;
"MESH-система Tenda Nova MW3 2-pack";"Маршрутизаторы";"Tenda";"Nova MW3 2-pack";0ed42992-d49f-11ee-b0f5-a8a1595902d2;24798;31121;38771;0;0;12 мес;88920024;1;0;
"USB Flash drive 32GB GoodRAM UTS3 Black, UTS3-0320K0R11";"USB Flash накопители";"GoodRAM";"UTS3-0320K0R11";3cc52b36-dc7d-11ee-b0f8-a8a1595902d2;1525;2588;2523;0;0;12 мес;88920815;6;0;
"Сумка Lenovo Essential Slim Topload 4X41D97727";"Сумки для ноутбуков";"Lenovo";"4X41D97727";2829e686-dd35-11ee-b0f8-a8a1595902d2;17715;24535;22675;0;0;12 мес;88920916;3;0;
"Сетевой фильтр Sven Surge Protector SF-05E SV-021559 (5 розеток 1.8m), Black";"Сетевые фильтры, адаптеры";"Sven";"SV-021559 (5 розеток 1.8m), Black";56c0ec65-df99-11ee-b0f8-a8a1595902d2;2184;3713;2730;0;0;12 мес;88920940;2;0;
"ИБП ExeGate LLB-1200.LCD.AVR.2SH.3C13 1200VA/750W, EX292795RUS";"Источники бесперебойного питания";"Exegate";"EX292795RUS";a296810c-e2ce-11ee-b0f8-a8a1595902d2;37134;49198;45611;0;0;12 мес;88921130;1;0;
"Вакуумный упаковщик Aeno VS2";"Вакуумные упаковщики";"Aeno";"VS2";d8006ab4-e827-11ee-b0f8-a8a1595902d2;27993;37651;37986;0;0;12 мес;88921352;1;0;
"Увлажнитель воздуха Kitfort KT-2877-2 Black/White";"Увлажнители воздуха";"KITFORT";"KT-2877-2 Black/White";55112359-e831-11ee-b0f8-a8a1595902d2;19343;26786;23985;0;0;12 мес;88921378;1;0;
"Полка для DVD Brateck DVD-291";"Кронштейны для ТВ и мониторов";"Brateck";"DVD-291";88bcdad5-eb50-11ee-b0f8-a8a1595902d2;4101;5946;7849;0;0;12 мес;88921454;1;0;
"Надувной бассейн Intex 57181NP ";"Бассейны";"Intex";"57181NP";97e6a0ba-f02f-11ee-b0fa-a8a1595902d2;7999;11095;13410;0;0;12 мес;88921764;1;0;
"Дополнительная трубка Panasonic KX-TGA681RUB";"Телефоны";"Panasonic";"KX-TGA681RUB";d113abd7-f02f-11ee-b0fa-a8a1595902d2;18020;23426;20869;0;1;12 мес;88921820;1;0;
"Измельчитель Kitfort KT-1389";"Измельчители и терки";"KITFORT";"KT-1389";1ed38a50-f030-11ee-b0fa-a8a1595902d2;18893;24950;19296;0;0;12 мес;88921850;1;0;
"Монитор 27"" AOC 27B3HMA2";"Мониторы";"AOC";"27B3HMA2";3e8bbb56-f63c-11ee-b0fa-a8a1595902d2;55182;65942;65974;0;0;12 мес;88922261;1;0;
"Машинка на радиоуправлении Rastar 48000B";"Радиоуправляемые модели";"Rastar";"48000B";ea476787-fca9-11ee-b0fa-a8a1595902d2;11699;16671;21524;0;0;12 мес;88922977;1;0;
"Розетка настенная Cablexpert RJ-45 экранированная (2 разъёма), NA214";"Телекомуникационные розетки";"Cablexpert";"NA214";2339f49d-fcaa-11ee-b0fa-a8a1595902d2;1104;2203;1223;0;0;12 мес;88923030;1;0;
"Блок питания Formula V AP-550MM";"Блоки питания";"Formula V";"AP-550MM";61da4e75-02f1-11ef-b0fa-a8a1595902d2;15745;20469;19070;0;3;12 мес;88923499;5;0;
"Блок питания Formula V AP-750MM";"Блоки питания";"Formula V";"AP-750MM";61da4e7b-02f1-11ef-b0fa-a8a1595902d2;24103;30249;26338;0;3;12 мес;88923501;5;0;
"Клавиатура Gembird KB-8360U";"Клавиатуры";"Gembird";"KB-8360U";2f3856fc-06e7-11ef-b0fa-a8a1595902d2;5484;8734;7108;0;0;12 мес;88923745;1;0;
"Увлажнитель воздуха Galaxy Line GL8013";"Увлажнители воздуха";"GALAXY LINE";"GL8013";3dbb36fb-06ea-11ef-b0fa-a8a1595902d2;2828;13985;3724;0;0;12 мес;88923787;2;0;
"Корпус Formula V Air Power G5 DUO Black";"Корпуса";"Formula V";"Air Power G5 DUO Black";2fcd7043-084e-11ef-b0fa-a8a1595902d2;20289;25463;21886;0;1;1 мес;88923805;1;0;
"Корпус Formula V Crystal Z5 Black";"Корпуса";"Formula V";"Crystal Z5 Black";2fcd7049-084e-11ef-b0fa-a8a1595902d2;23833;35973;22367;0;2;12 мес;88923807;1;0;
"Сушилка для овощей и фруктов Kitfort KT-1948";"Сушилки для овощей и фруктов";"KITFORT";"KT-1948";bbc2b063-0b92-11ef-b0fa-a8a1595902d2;71993;92866;87585;0;0;12 мес;88923922;1;0;
"Чехол для ноутбука HAMA Cali 15.6 Dark blue, 00217182";"Сумки для ноутбуков";"HAMA";"00217182";e28aba82-0ba0-11ef-b0fa-a8a1595902d2;7232;9763;10292;0;0;12 мес;88923939;1;0;
"Блок питания Deepcool PF600, R-PF600D-HA0B-EU";"Блоки питания";"DeepCool";"R-PF600D-HA0B-EU";f5afac6b-11d4-11ef-b0fa-a8a1595902d2;19930;25610;22918;0;4;12 мес;88924116;5;1;
